Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,24.549999,25.590000,24.340000,25.410000,25.056078,55684400
2020-05-19,25.000000,25.150000,23.920000,23.950001,23.616415,48234300
2020-05-20,24.490000,24.740000,24.360001,24.520000,24.178474,45297100
2020-05-21,24.389999,24.850000,24.320000,24.459999,24.119310,28376500
2020-05-22,24.440001,24.490000,23.920000,24.170000,23.833349,30415300
2020-05-26,25.049999,26.510000,25.040001,26.260000,25.894241,57720300
2020-05-27,27.799999,28.260000,26.840000,27.950001,27.560703,61963000
2020-05-28,28.320000,28.370001,27.120001,27.219999,26.840868,51490200
2020-05-29,26.500000,27.070000,26.090000,26.469999,26.101315,51336900
2020-06-01,26.610001,27.590000,26.370001,27.090000,26.712679,34201700
2020-06-02,27.580000,27.990000,27.160000,27.400000,27.018362,39058000
2020-06-03,28.389999,29.190001,28.340000,28.830000,28.428444,50814000
2020-06-04,29.480000,30.250000,28.639999,30.219999,29.799082,61839200
2020-06-05,33.889999,33.889999,31.459999,31.670000,31.228889,107651200
2020-06-08,32.900002,33.430000,32.270000,33.320000,32.855911,69051300
2020-06-09,32.439999,33.080002,31.510000,32.630001,32.175518,51480400
2020-06-10,32.299999,32.330002,29.650000,29.709999,29.296186,82090000
2020-06-11,27.200001,28.430000,26.700001,26.790001,26.416861,75621300
2020-06-12,28.000000,28.230000,27.350000,27.969999,27.580421,51301200
2020-06-15,26.860001,28.389999,26.559999,28.209999,27.817080,48311400
2020-06-16,29.430000,29.650000,27.770000,28.520000,28.122761,52985600
2020-06-17,28.500000,28.549999,27.350000,27.450001,27.067667,38660800
2020-06-18,27.100000,27.930000,26.930000,27.549999,27.166271,33670200
2020-06-19,28.000000,28.049999,27.010000,27.600000,27.215576,71903000
2020-06-22,27.270000,27.629999,26.889999,27.350000,26.969057,32808300
2020-06-23,27.780001,28.290001,27.190001,27.230000,26.850731,47279100
2020-06-24,26.959999,27.030001,25.990000,26.120001,25.756193,57380900
2020-06-25,25.959999,27.410000,25.889999,27.370001,26.988781,45102200
2020-06-26,26.100000,26.400000,25.250000,25.340000,24.987055,81172300
2020-06-29,25.590000,25.900000,25.260000,25.700001,25.342041,43769200
2020-06-30,25.209999,25.870001,25.170000,25.600000,25.243435,46610000
2020-07-01,25.730000,25.959999,24.930000,25.090000,24.740538,37509300
2020-07-02,25.750000,26.170000,25.100000,25.340000,24.987055,37013300
2020-07-06,25.820000,26.020000,24.980000,25.490000,25.134964,46983100
2020-07-07,25.200001,25.219999,24.340000,24.459999,24.119310,36920500
2020-07-08,24.440001,24.780001,24.070000,24.549999,24.208055,38413400
2020-07-09,24.500000,24.780001,23.709999,24.040001,23.705164,38118900
2020-07-10,24.180000,25.530001,24.150000,25.469999,25.115242,56483300
2020-07-13,25.820000,26.040001,24.940001,25.410000,25.056078,51038800
2020-07-14,23.920000,24.389999,23.330000,24.250000,23.912235,118952600
2020-07-15,24.980000,25.549999,24.840000,25.350000,24.996918,61714300
2020-07-16,24.910000,26.090000,24.820000,25.459999,25.105383,48676800
2020-07-17,25.490000,25.639999,24.860001,24.950001,24.602488,39184100
2020-07-20,24.719999,24.879999,24.400000,24.570000,24.227781,38682200
2020-07-21,24.750000,26.280001,24.709999,26.200001,25.835077,58395200
